    Site of Sample,Date of Sample,Notes,Jar/Bag/Vial,IDer,Date of ID,Geometrid,Notodontid,Pyralid,Crambid,Pyraloidea,Erebid,Cossidae,Lasiocampid,Noctuid,Pterophoridae,Nolidae (2021 and 2022 they were counted as pyraloidea),Sphingid,Saturniidae,Species1 ,Species2,Species3 ,Species4,Small Lepidoptera,Total Lepidoptera,Unknown Lepidoptera,Coleoptera,Diptera,Hymenop:Bees,Hymenop:Ants,Hymenop:Wasps,Hymenop:Total,Hemiptera,Trichoptera,Thysanoptera,Neuroptera,Orthoptera,Ephemeroptera,Plecoptera,Dermaptera,Collembola,Protura,Psocodea,Raphidoptera,Phthiraptera,Megaloptera,Arachnids,Unknown
IRON01,7/18/2022,For JH BH,JAR,JESSE HOMZA,n/a,0,0,3,5,8,16,0,3,23,-,-,1,0,1,0,10,0,0,117,57,3,219,0,3,27,34,12,10,-,0,-,,-,0,0,0,0,0,0,0,2,21
IRON02,7/18/2022,For JH BH,JAR,BETH HANEY,n/a,1,6,0,0,0,16,0,1,30,-,-,9,0,5,3,7,0,40,54,3,7,479,0,0,17,17,3,17,-,0,-,1,-,0,0,0,0,0,0,0,0,0
IRON03,7/18/2022,For JH BH,JAR,JESSE HOMZA,n/a,1,0,2,1,3,13,1,6,17,-,-,0,0,2,0,7,0,28,100,1,4,281,0,1,9,10,12,0,-,0,-,0,-,0,0,0,0,0,0,0,5,5
IRON04,7/18/2022,For JH BH,JAR,BETH HANEY,n/a,0,0,0,0,0,20,0,3,34,-,-,8,0,2,0,6,0,37,66,1,0,53,0,0,6,6,2,3,-,0,-,0,-,0,0,0,0,0,0,0,1,0
IRON05,7/18/2022,For JH BH,JAR,JESSE HOMZA,n/a,0,0,0,1,1,29,0,4,31,-,-,4,0,0,2,12,0,79,166,0,0,87,0,0,8,8,2,0,-,0,-,0,-,0,0,0,0,0,0,0,0,5
IRON06,7/18/2022,For JH BH,JAR,JESSE HOMZA,n/a,0,1,2,0,2,15,1,4,18,-,-,3,0,2,0,1,0,29,44,6,1,31,0,0,6,6,0,1,-,0,-,0,-,0,0,0,0,0,0,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISC01,7/28/2021,,JAR,Jesse HOMZA,n/a,13,9,14,21,35,3,1,6,62,-,-,2,,2,0,3,6,,135,43,6,32,12,2,included with bees,14,2,10,-,0,-,,-,0,0,0,0,0,0,0,,33
IRON03,7/28/2021,,JAR,BETH HANEY,n/a,0,0,0,1,1,0,0,0,0,-,-,0,0,0,0,0,0,,1,0,4,9,0,0,61,16,0,,-,0,-,-,-,-,-,-,-,-,-,-,-,
LONG05,7/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON06,6/24/2021,"wasps- jar was missing tag, I added one in",JAR,JESSE HOMZA,n/a,4,1,4,8,12,6,0,4,45,0,-,3,0,1,2,2,0,21,102,4,0,10,0,0,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IRON04,7/5/2022,,JAR,JESSE HOMZA,n/a,16,1,3,1,4,6,0,0,45,0,-,16,1,10,6,3,0,46,135,0,0,566,0,1,4,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1
VIZC02,7/11/2022,,JAR,Abigial Bower,n/a,6,1,2,3,5,9,1,8,26,20,-,8,1,7,1,5,0,38,139,0,0,177,0,2,6,9,16,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Long 02,6/22/2022,For Carlos,JAR,Abigail Bower,n/a,62,51,19,16,35,19,0,34,40,0,-,7,0,4,3,9,7,64,886,12,5,84,0,9,24,27,4,223,0,0,2,0,0,0,0,0,0,0,0,0,1,15
LONG04,7/11/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON02,7/5/2022,For Carlos,JAR,Abigail Bower,n/a,33,19,3,13,16,15,0,8,30,0,-,17,1,13,4,14,0,56,193,3,17,178,0,0,3,3,3,19,0,0,0,0,8,0,0,0,0,0,0,0,0,214
LONG03,7/11/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,7/11/2022,2-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,7/5/2022,,JAR,Abigail Bower,n/a,46,10,n/a,n/a,105,8,0,4,118,5,-,18,0,10,13,5,0,150,466,0,20,10,0,2,35,37,13,1,2,0,0,0,0,0,0,0,0,0,0,0,1,
LONG02,7/18/2022,,JAR,Jae Phelps,9/21/23;0/22/23,0,4,n/a,n/a,2,14,1,21,53,0,-,20,0,19,1,5,0,2,115,0,1,13,0,0,1,1,1,0,0,0,0,0,0,4,0,0,,0,0,0,2,6
IRON05,7/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,7/11/2022,2-Feb,JAR,Jesse Homza,n/a,10,8,n/a,n/a,23,9,4,15,50,2,-,1,0,0,1,2,0,153,275,0,2,2,2,19,17,38,11,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1
LONG03,7/5/2022,AB for Carlos,JAR,Abigail Bower,n/a,53,30,4,9,13,32,0,28,30,0,-,45,0,16,7,9,1,93,396,1,3,66,0,0,20,22,6,27,0,0,0,0,1,0,0,0,0,0,0,0,1,31
VIZC01,7/5/2022,,JAR,Jesse Homza,n/a,7,6,0,1,1,8,0,5,92,0,-,7,1,10,7,3,0,34,174,1,1,248,,1,4,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
IRON05,7/11/2022,,JAR,Jesse Homza,n/a,2,0,2,5,7,14,3,3,7,0,-,0,0,0,0,9,0,38,74,0,1,267,1,0,4,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VIZC03,7/5/2022,,JAR,Jesse Homza,n/a,7,2,7,8,15,5,0,8,40,0,-,18,0,17,1,3,0,105,197,0,4,284,3,20,4,31,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LONG04,7/5/2022,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON03,7/5/2022,,JAR,Abigail Bower,n/a,20,12,6,2,8,9,0,11,13,0,-,18,0,8,10,5,3,43,179,0,2,153,0,1,5,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,264
VIZC01,7/11/2022,,JAR,Jesse Homza,n/a,1,4,0,9,9,7,0,2,11,0,-,8,0,7,1,5,0,75,117,0,0,193,0,1,2,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
