"","site","week","date"
"1","e",29,2022-07-18
"2","IRON01",19,2022-05-07
"3","IRON01",25,2021-06-24
"4","IRON01",26,2022-06-27
"5","IRON01",27,2021-07-08
"6","IRON01",28,2022-07-11
"7","IRON01",29,2021-07-21
"8","IRON01",29,2021-07-16
"9","IRON01",30,2021-07-28
"10","IRON01",31,2022-08-01
"11","IRON01",31,2021-08-04
"12","IRON01/03",31,2021-08-04
"13","IRON02",26,2022-06-27
"14","IRON02",28,2022-07-11
"15","IRON02",29,2021-07-21
"16","IRON02",30,2021-07-28
"17","IRON02",31,2022-08-01
"18","IRON02",32,2021-08-10
"19","IRON03",25,2021-06-24
"20","IRON03",26,2022-06-28
"21","IRON03",28,2022-07-11
"22","IRON03",28,2021-07-12
"23","IRON03",29,2021-07-21
"24","IRON03",31,2022-08-01
"25","IRON04",26,2022-06-28
"26","IRON04",27,2021-07-08
"27","IRON04",28,2022-07-11
"28","IRON04",30,2021-07-28
"29","IRON04",31,2022-08-01
"30","IRON04",32,2021-08-10
"31","IRON043",30,2022-07-26
"32","IRON05",25,2021-06-24
"33","IRON05",26,2022-06-27
"34","IRON05",27,2022-07-05
"35","IRON05",27,2021-07-08
"36","IRON05",29,2021-07-21
"37","IRON05",30,2021-07-28
"38","IRON05",31,2022-08-01
"39","IRON05",31,2021-08-04
"40","IRON06",25,2021-06-24
"41","IRON06",26,2022-06-27
"42","IRON06",28,2022-07-11
"43","IRON06",28,2021-07-10
"44","IRON06",29,2021-07-21
"45","IRON06",30,2021-07-28
"46","IRON06",31,2022-08-01
"47","Long Canyon 5",31,2020-07-29
"48","LONG01",25,2021-06-22
"49","LONG01",26,2022-06-27
"50","LONG01",27,2022-07-05
"51","LONG01",28,2021-07-09
"52","LONG01",29,2021-07-21
"53","LONG01",31,2022-08-01
"54","LONG01",31,2021-08-04
"55","LONG01",31,2020-07-29
"56","LONG02",26,2022-06-27
"57","LONG02",27,2022-07-05
"58","LONG02",29,2021-07-21
"59","LONG02",30,2022-07-26
"60","LONG02",31,2022-08-01
"61","LONG02",32,2021-08-11
"62","LONG03",25,2021-06-22
"63","LONG03",26,2022-06-27
"64","LONG03",27,2021-07-08
"65","LONG03",28,2022-07-11
"66","LONG03",29,2021-07-22
"67","LONG03",30,2022-07-26
"68","LONG03",31,2022-08-01
"69","LONG03/02",31,2021-08-04
"70","LONG04",25,2021-06-22
"71","LONG04",26,2022-06-27
"72","LONG04",27,2022-07-05
"73","LONG04",28,2022-07-11
"74","LONG04",29,2021-07-22
"75","LONG04",30,2022-07-26
"76","LONG04",31,2022-08-01
"77","LONG05",25,2021-06-22
"78","LONG05",26,2022-06-27
"79","LONG05",27,2021-07-08
"80","LONG05",28,2022-07-11
"81","LONG05",28,2021-07-15
"82","LONG05",29,2021-07-22
"83","LONG05",31,2022-08-01
"84","LONG05",31,2021-08-04
"85","VISC02",27,2022-07-05
"86","VISC02",29,2022-07-18
"87","VIZC01",26,2022-06-27
"88","VIZC01",27,2021-07-08
"89","VIZC01",28,2021-07-15
"90","VIZC01",31,2022-08-01
"91","VIZC01",31,2021-08-04
"92","VIZC02",26,2022-06-27
"93","VIZC02",26,2021-06-29
"94","VIZC02",28,2021-07-15
"95","VIZC02",29,2021-07-22
"96","VIZC02",30,2021-07-28
"97","VIZC02",30,2021-07-29
"98","VIZC02",31,2022-08-01
"99","VIZC02",31,2021-08-04
"100","VIZC03",26,2022-06-27
"101","VIZC03",26,2021-06-29
"102","VIZC03",26,2020-06-29
"103","VIZC03",27,2021-07-08
"104","VIZC03",28,2022-07-11
"105","VIZC03",28,2021-07-15
"106","VIZC03",30,2022-07-26
"107","VIZC03",30,2021-07-28
"108","VIZC03",31,2022-08-01
"109","VIZC03",31,2021-08-04
"110","VIZC04",26,2022-06-27
"111","VIZC04",26,2021-06-29
"112","VIZC04",27,2022-07-05
"113","VIZC04",28,2022-07-11
"114","VIZC04",28,2021-07-15
"115","VIZC04",29,2021-07-22
"116","VIZC04",29,2021-07-21
"117","VIZC04",29,2021-07-18
"118","VIZC04",31,2022-08-01
"119","vizcaen",27,2021-07-08
